#RA DEC XI ETA F475W F814W V VERR
11.577 42.172 0.666 0.906 23.664 21.045 -104.259 2.182 
11.577 42.153 0.667 0.887 24.078 21.051 -57.877 2.622 
11.588 42.216 0.675 0.951 24.942 21.599 -85.067 2.597 
11.59 42.12 0.676 0.854 24.965 21.022 -85.636 2.548 
11.59 42.224 0.676 0.958 24.799 21.739 -222.516 4.518 
11.599 42.131 0.683 0.866 25.403 21.508 -76.749 3.148 
11.6 42.132 0.684 0.866 24.968 22.273 -22.193 9.569 
11.601 42.172 0.684 0.906 25.991 21.586 -141.833 3.479 
11.604 42.148 0.687 0.882 25.757 21.383 -79.762 5.63 
11.61 42.187 0.691 0.921 24.526 21.429 -148.455 3.546 
11.61 42.185 0.691 0.919 26.578 22.102 -142.184 3.49 
11.63 42.225 0.706 0.96 25.823 21.724 -105.014 3.194 
11.633 42.213 0.708 0.947 24.965 21.694 -100.193 3.578 
11.633 42.17 0.709 0.905 24.24 22.019 -224.49 4.438 
11.636 42.23 0.71 0.965 24.756 21.354 -93.86 2.336 
11.658 42.23 0.727 0.965 26.011 22.019 -102.022 4.227 
11.663 42.24 0.731 0.975 24.971 21.772 -65.992 3.59 
11.664 42.235 0.731 0.97 24.932 21.964 -29.147 3.903 
11.668 42.188 0.735 0.922 25.677 21.775 -82.967 4.658 
11.673 42.196 0.738 0.931 24.663 21.73 -42.507 2.634 
11.677 42.255 0.741 0.99 24.553 21.588 -93.002 2.893 
11.678 42.259 0.742 0.994 24.419 21.72 -55.975 3.827 
11.679 42.206 0.742 0.941 24.72 21.74 -113.158 3.853 
11.679 42.25 0.743 0.986 25.246 21.229 -179.902 5.084 
11.68 42.259 0.743 0.994 24.808 22.032 -130.222 5.46 
11.683 42.244 0.746 0.98 25.1 21.267 -47.687 1.917 
11.684 42.251 0.746 0.986 25.069 21.779 -59.139 5.473 
11.688 42.203 0.75 0.938 26.068 21.598 -119.625 4.617 
11.697 42.238 0.756 0.974 25.215 21.058 -131.547 2.465 
11.698 42.256 0.757 0.991 24.774 21.753 -111.295 4.26 
11.702 42.284 0.759 1.019 24.67 21.649 -73.991 4.547 
11.705 42.256 0.762 0.991 24.66 21.743 -178.894 3.633 
11.709 42.235 0.765 0.97 24.478 21.398 -85.032 2.574 
11.712 42.222 0.767 0.957 24.71 21.214 -106.068 1.858 
11.713 42.298 0.768 1.034 24.559 21.583 -49.198 2.859 
11.714 42.23 0.768 0.966 25.634 21.373 -19.683 2.438 
11.714 42.305 0.768 1.04 24.419 21.572 -118.529 2.761 
11.716 42.282 0.77 1.017 24.904 21.453 -75.471 2.232 
11.728 42.332 0.779 1.068 24.933 21.323 -64.193 3.664 
11.736 42.293 0.785 1.029 24.364 21.363 -77.625 2.112 
11.737 42.294 0.786 1.029 25.431 21.401 -117.277 2.876 
11.736 42.308 0.785 1.043 24.189 21.189 -97.866 2.425 
11.743 42.331 0.79 1.066 24.502 21.291 -73.393 3.572 
11.748 42.263 0.794 0.998 24.224 21.667 -103.99 4.512 
11.757 42.326 0.801 1.062 24.014 21.968 -54.574 3.188 
11.758 42.273 0.802 1.009 24.654 21.357 -267.311 2.417 
11.758 42.311 0.801 1.047 24.311 21.96 -154.023 3.238 
11.761 42.259 0.804 0.994 24.047 21.124 -143.533 2.107 
11.767 42.326 0.808 1.062 24.554 21.903 -167.668 3.991 
11.782 42.291 0.819 1.027 24.955 21.395 -75.327 2.689 
11.783 42.277 0.82 1.013 25.07 21.989 -83.123 4.176 
11.785 42.322 0.821 1.059 24.664 20.944 -75.726 1.545 
11.799 42.304 0.832 1.04 23.608 21.203 -142.758 3.705 
11.802 42.286 0.834 1.023 24.443 21.567 -509.928 4.212 
11.808 42.3 0.838 1.036 24.297 21.391 -484.154 2.295 
11.816 42.304 0.844 1.04 24.26 21.304 -110.964 3.452 
11.816 42.305 0.845 1.041 24.373 21.877 -182.191 5.006 
11.817 42.302 0.845 1.038 25.245 21.12 -104.353 3.379 
11.817 42.294 0.845 1.03 25.077 21.839 -57.609 5.856 
11.828 42.298 0.853 1.034 23.806 21.129 -152.975 1.743 
11.83 42.314 0.854 1.051 24.828 21.187 -45.805 2.926 
11.83 42.313 0.855 1.049 24.466 21.598 -81.991 4.275 
11.844 42.308 0.865 1.044 25.146 21.426 -42.659 5.231 
11.565 42.144 0.658 0.878 23.782 21.777 -527.385 5.28 
11.555 42.142 0.65 0.876 24.673 21.651 -136.315 4.805 
11.566 42.172 0.659 0.906 26.01 21.475 -107.836 2.204 
11.569 42.204 0.661 0.939 25.198 21.276 -104.821 2.039 
11.57 42.143 0.661 0.878 25.008 21.254 -124.463 2.44 
11.57 42.136 0.662 0.87 24.302 21.084 -0.023 2.323 
11.573 42.207 0.663 0.941 23.92 21.374 -85.914 2.185 
11.583 42.132 0.671 0.867 24.574 21.557 -79.236 3.312 
11.596 42.151 0.681 0.885 25.844 21.503 -177.241 10.472 
11.601 42.142 0.685 0.877 24.565 21.143 -129.602 2.344 
11.611 42.161 0.692 0.896 24.979 21.614 -57.669 2.685 
11.624 42.227 0.702 0.962 24.694 21.469 -138.806 2.512 
11.625 42.167 0.703 0.901 25.361 21.789 -189.648 2.719 
11.626 42.167 0.703 0.902 24.65 22.027 -47.103 11.278 
11.625 42.199 0.703 0.934 25.225 21.464 -24.451 3.044 
11.646 42.242 0.717 0.976 25.078 21.219 -116.084 3.119 
11.657 42.238 0.726 0.973 24.27 21.207 -74.25 1.943 
11.663 42.231 0.731 0.966 24.356 21.037 -44.73 2.185 
11.668 42.234 0.734 0.968 24.607 21.851 -114.008 4.83 
11.679 42.221 0.742 0.956 24.627 21.047 -514.215 2.039 
11.68 42.215 0.744 0.95 24.271 21.62 -126.878 2.825 
11.681 42.217 0.744 0.952 24.7 21.679 -80.613 3.307 
11.691 42.283 0.751 1.018 25.405 21.65 -103.121 3.081 
11.694 42.251 0.754 0.986 24.889 21.765 -111.905 4.03 
11.696 42.293 0.755 1.028 25.608 21.642 -81.584 3.735 
11.698 42.257 0.757 0.992 24.076 21.311 -142.995 2.374 
11.708 42.263 0.764 0.998 24.423 21.274 -78.875 2.607 
11.709 42.264 0.764 0.999 24.917 21.846 -160.556 4.236 
11.711 42.269 0.766 1.004 24.442 21.148 -101.102 1.647 
11.712 42.239 0.767 0.975 24.694 21.632 -90.354 3.172 
11.723 42.247 0.776 0.982 24.528 21.375 -65.117 2.197 
11.724 42.328 0.776 1.063 24.19 21.144 -136.192 2.206 
11.726 42.248 0.777 0.983 24.228 21.836 -105.895 4.106 
11.728 42.244 0.779 0.98 24.224 21.401 -103.483 3.817 
11.728 42.225 0.779 0.96 24.473 21.92 -76.132 3.98 
11.729 42.322 0.78 1.058 23.774 21.224 -244.624 3.752 
11.731 42.24 0.781 0.975 24.821 21.251 -29.111 2.151 
11.733 42.258 0.782 0.994 25.042 21.454 -98.223 2.193 
11.734 42.266 0.783 1.001 24.051 21.258 -314.566 2.14 
11.74 42.238 0.788 0.974 24.416 21.74 -42.279 2.922 
11.745 42.255 0.792 0.99 24.642 21.216 -111.32 2.224 
11.747 42.331 0.793 1.066 25.39 21.687 -57.363 3.012 
11.75 42.263 0.795 0.998 24.521 20.957 -29.277 1.137 
11.752 42.326 0.796 1.061 24.855 21.778 -53.879 4.509 
11.754 42.303 0.798 1.039 24.817 21.953 -83.55 6.479 
11.762 42.259 0.804 0.995 24.008 20.853 -163.529 1.312 
11.77 42.29 0.81 1.026 24.809 22.034 -151.794 4.917 
11.774 42.294 0.813 1.03 24.394 21.264 -128.061 1.675 
11.792 42.299 0.826 1.035 24.474 21.471 -144.334 2.393 
11.796 42.276 0.829 1.012 23.75 21.234 -47.506 2.352 
11.824 42.307 0.85 1.044 24.793 21.391 -198.736 2.991 
11.414 42.195 0.545 0.928 23.671 21.631 -97.702 4.577 
11.497 42.19 0.607 0.924 23.149 20.768 -80.583 1.419 
11.547 42.234 0.644 0.968 23.048 20.865 -73.229 1.887 
11.607 42.24 0.689 0.974 25.615 22.716 -244.312 6.239 
11.63 42.304 0.706 1.039 23.406 21.533 -91.429 4.686 
11.634 42.27 0.708 1.005 22.99 20.992 -54.95 2.166 
11.64 42.263 0.713 0.997 22.837 20.88 -48.965 1.558 
11.668 42.318 0.734 1.053 23.394 21.378 -65.254 3.803 
11.671 42.3 0.736 1.035 23.713 21.627 -46.872 3.415 
11.696 42.299 0.755 1.034 23.209 20.789 -141.985 2.015 
11.718 42.281 0.771 1.017 23.28 20.931 -34.019 1.799 
11.72 42.301 0.773 1.037 23.742 21.669 -388.131 6.938 
11.418 42.193 0.548 0.926 24.065 20.782 -113.659 2.205 
11.424 42.225 0.552 0.958 23.873 21.722 -143.775 4.908 
11.426 42.217 0.554 0.95 23.587 21.328 -146.243 3.526 
11.438 42.196 0.563 0.929 23.351 20.875 -59.491 1.753 
11.438 42.179 0.563 0.913 23.997 20.99 -129.277 3.833 
11.446 42.176 0.569 0.909 24.092 20.953 -95.307 1.747 
11.451 42.221 0.572 0.954 23.953 20.993 -113.141 1.962 
11.457 42.199 0.577 0.932 24.227 21.845 -520.125 4.635 
11.457 42.18 0.577 0.914 23.542 20.843 -553.726 2.17 
11.458 42.226 0.577 0.959 24.32 20.904 -491.256 1.385 
11.462 42.182 0.581 0.915 24.08 21.415 -86.455 2.254 
11.462 42.207 0.581 0.941 23.827 21.601 -63.931 3.804 
11.462 42.25 0.581 0.984 23.886 20.943 -66.489 2.034 
11.47 42.236 0.586 0.97 24.277 21.718 -90.312 2.878 
11.472 42.24 0.588 0.973 24.036 21.58 -46.566 2.947 
11.476 42.217 0.591 0.951 24.201 20.898 -89.281 1.734 
11.476 42.202 0.591 0.935 24.372 22.029 -88.268 5.036 
11.477 42.176 0.592 0.91 24.164 21.843 -64.635 3.841 
11.479 42.216 0.593 0.95 24.077 21.054 -52.273 1.64 
11.484 42.191 0.597 0.925 24.162 20.846 -158.621 3.086 
11.493 42.182 0.604 0.916 23.764 21.383 -156.728 3.964 
11.496 42.22 0.606 0.953 23.912 21.656 -118.295 5.22 
11.498 42.184 0.608 0.918 23.581 21.157 -95.917 2.14 
11.512 42.232 0.618 0.966 24.131 20.937 -143.09 2.353 
11.513 42.233 0.619 0.967 24.064 21.353 -255.649 2.456 
11.515 42.209 0.62 0.943 24.058 21.605 -148.655 4.122 
11.518 42.217 0.622 0.951 24.058 21.548 -502.181 3.751 
11.525 42.241 0.628 0.975 23.545 21.061 -54.183 1.875 
11.532 42.213 0.633 0.947 23.806 21.014 -120.075 2.149 
11.551 42.233 0.647 0.967 25.735 21.761 -75.408 2.956 
11.557 42.216 0.652 0.95 23.561 20.945 -274.246 2.541 
11.57 42.213 0.661 0.947 23.949 21.073 -60.454 1.837 
11.577 42.266 0.666 1.0 23.801 21.046 -119.028 2.558 
11.58 42.258 0.669 0.992 24.257 20.843 -30.844 1.681 
11.582 42.274 0.67 1.008 23.539 21.133 -111.626 2.337 
11.594 42.256 0.679 0.991 24.167 21.69 -163.897 2.926 
11.6 42.237 0.683 0.971 23.823 21.076 -94.891 4.282 
11.6 42.262 0.683 0.996 23.842 21.487 -412.19 2.969 
11.602 42.239 0.685 0.973 23.739 21.036 -172.479 2.026 
11.604 42.261 0.687 0.995 24.012 21.622 -185.819 7.261 
11.619 42.267 0.698 1.002 24.163 20.886 -232.542 2.122 
11.619 42.243 0.698 0.978 23.852 20.72 -70.492 1.46 
11.622 42.258 0.7 0.992 24.131 21.798 -140.445 3.667 
11.628 42.241 0.704 0.976 23.858 21.007 -212.356 2.236 
11.63 42.281 0.706 1.016 23.603 21.3 -61.738 2.24 
11.634 42.25 0.709 0.985 24.011 21.203 75.168 3.774 
11.635 42.25 0.71 0.984 24.286 21.85 -392.708 5.872 
11.635 42.285 0.71 1.02 23.482 21.061 -67.686 2.722 
11.643 42.265 0.715 1.0 23.843 21.757 -80.271 4.465 
11.655 42.306 0.724 1.041 23.939 21.256 -247.065 2.121 
11.655 42.284 0.724 1.019 23.649 20.87 -240.765 1.991 
11.655 42.251 0.725 0.986 24.051 21.861 -58.901 4.834 
11.661 42.252 0.729 0.987 23.505 20.691 -133.558 1.516 
11.663 42.316 0.73 1.051 23.936 21.258 -231.603 2.87 
11.674 42.288 0.739 1.023 23.879 21.072 -161.115 3.172 
11.679 42.282 0.742 1.017 23.977 20.998 -119.14 2.693 
11.694 42.272 0.753 1.007 24.294 21.838 -209.292 8.259 
11.695 42.309 0.754 1.045 23.492 20.878 -140.106 2.005 
11.701 42.254 0.759 0.989 23.873 20.975 -36.409 3.046 
11.701 42.254 0.759 0.989 24.198 20.858 -74.793 6.5 
11.702 42.279 0.76 1.014 23.336 20.77 -336.214 3.19 
11.707 42.262 0.763 0.997 23.67 21.125 -80.382 1.871 
11.716 42.309 0.77 1.044 23.916 20.964 -117.71 2.25 
11.73 42.304 0.78 1.04 23.88 21.695 -122.962 3.84 
11.75 42.286 0.795 1.022 23.821 20.931 -99.376 2.45 
11.752 42.271 0.797 1.007 24.047 21.89 -145.877 5.557 
11.647 42.244 0.719 0.979 24.147 21.255 -29.707 3.453 
11.648 42.244 0.719 0.979 24.357 21.155 -184.671 3.731 
11.418 42.183 0.548 0.916 24.988 21.537 -174.794 3.894 
11.429 42.236 0.556 0.969 24.207 21.112 -186.031 2.183 
11.435 42.218 0.56 0.951 24.632 21.315 -90.541 2.564 
11.44 42.212 0.564 0.945 24.962 21.032 -34.557 3.196 
11.451 42.238 0.572 0.971 24.507 21.226 -89.976 2.066 
11.452 42.204 0.573 0.938 24.692 21.317 -89.47 3.281 
11.474 42.215 0.589 0.949 24.42 20.892 -116.158 1.648 
11.499 42.242 0.608 0.975 24.633 21.334 -91.572 3.15 
11.5 42.239 0.609 0.972 24.336 20.877 -219.643 2.226 
11.51 42.244 0.617 0.978 23.664 21.168 -135.402 2.364 
11.512 42.217 0.618 0.95 24.369 21.769 -191.7 3.622 
11.515 42.206 0.62 0.939 25.174 21.356 -107.967 2.497 
11.518 42.243 0.623 0.976 25.421 21.313 -143.674 2.407 
11.519 42.214 0.623 0.947 24.509 21.449 -347.11 4.182 
11.525 42.195 0.628 0.928 26.038 21.723 -16.226 3.631 
11.53 42.221 0.631 0.955 25.836 21.907 -111.585 4.934 
11.536 42.202 0.636 0.936 25.552 21.445 -104.068 1.894 
11.579 42.216 0.668 0.951 26.928 21.715 -130.231 1.297 
11.58 42.23 0.669 0.964 24.894 21.222 -106.299 2.886 
11.585 42.22 0.672 0.955 26.359 21.656 -86.519 3.804 
11.589 42.249 0.675 0.983 24.541 21.742 -135.56 4.535 
11.594 42.276 0.679 1.01 25.447 21.624 -71.648 4.643 
11.6 42.287 0.683 1.022 25.119 21.315 -91.263 3.534 
11.604 42.257 0.687 0.991 25.134 21.685 -139.092 4.13 
11.617 42.249 0.696 0.983 24.96 21.23 -49.994 2.741 
11.628 42.246 0.704 0.98 24.372 21.591 -48.492 3.507 
11.63 42.261 0.706 0.995 25.089 21.671 -50.988 4.028 
11.63 42.234 0.706 0.968 25.163 21.931 -116.489 3.997 
11.63 42.266 0.706 1.001 25.658 22.012 -126.931 6.152 
11.631 42.261 0.707 0.996 24.857 21.423 -110.653 3.37 
11.636 42.256 0.71 0.99 24.59 21.402 -124.432 2.594 
11.643 42.292 0.715 1.027 24.529 21.951 -77.117 4.146 
11.658 42.297 0.727 1.032 24.677 21.479 -140.816 2.575 
11.697 42.273 0.756 1.009 24.479 20.978 -32.686 1.912 
11.702 42.293 0.76 1.028 24.57 21.035 -128.441 2.532 
11.704 42.269 0.761 1.005 24.897 21.313 -268.653 3.154 
11.706 42.277 0.762 1.012 24.294 21.769 -200.888 3.75 
11.706 42.278 0.763 1.014 24.569 21.503 -137.165 14.648 
11.709 42.28 0.765 1.015 24.905 21.048 -127.961 2.863 
11.714 42.299 0.768 1.034 24.228 21.523 -196.358 4.19 
11.718 42.283 0.772 1.019 25.219 21.39 -57.427 2.998 
11.727 42.273 0.778 1.009 25.084 21.872 -87.449 8.925 
11.736 42.285 0.785 1.02 25.154 22.075 -149.665 10.32 
11.736 42.279 0.785 1.015 24.205 21.023 -468.404 2.648 
11.742 42.272 0.79 1.008 24.354 21.328 -100.508 3.623 
11.744 42.299 0.791 1.035 25.464 21.258 -177.73 2.969 
11.746 42.288 0.792 1.024 23.522 20.914 -37.262 2.401 
11.747 42.282 0.793 1.018 24.303 21.621 -178.915 11.61 
11.752 42.277 0.797 1.013 23.553 20.792 -167.765 3.404 
11.76 42.278 0.803 1.014 24.434 21.366 -91.228 10.622 
11.429 42.222 0.556 0.955 25.002 22.025 -304.636 4.465 
11.446 42.238 0.568 0.972 24.66 21.813 -536.626 5.92 
11.452 42.17 0.573 0.904 25.371 22.069 -77.402 4.254 
11.466 42.204 0.584 0.937 25.653 21.524 -89.252 4.071 
11.473 42.219 0.589 0.952 25.126 21.509 -71.34 2.681 
11.475 42.208 0.591 0.941 25.087 21.095 -80.546 1.89 
11.498 42.227 0.607 0.96 24.579 21.939 -100.19 4.065 
11.5 42.221 0.609 0.954 24.865 21.382 -234.106 3.151 
11.517 42.192 0.622 0.926 25.068 21.954 -34.063 5.65 
11.521 42.242 0.625 0.976 24.932 21.535 -134.864 5.788 
11.539 42.216 0.638 0.95 25.867 22.028 -47.005 3.741 
11.539 42.232 0.638 0.966 24.634 21.229 -62.402 2.237 
11.545 42.229 0.643 0.963 24.414 21.074 -145.888 3.511 
11.558 42.237 0.653 0.971 24.822 22.095 -137.055 4.923 
11.582 42.233 0.67 0.967 24.487 20.984 -104.582 1.715 
11.583 42.233 0.671 0.967 26.098 22.911 -30.745 9.42 
11.599 42.26 0.683 0.994 24.731 21.723 -113.396 3.323 
11.61 42.284 0.69 1.019 24.283 21.542 -266.883 3.765 
11.622 42.235 0.7 0.97 24.692 21.872 -48.515 4.037 
11.628 42.234 0.704 0.969 23.966 21.512 -64.364 4.026 
11.63 42.298 0.706 1.033 25.488 22.96 -166.876 1.606 
11.641 42.292 0.714 1.027 23.385 20.764 -197.289 1.632 
11.648 42.278 0.719 1.013 24.628 21.722 -15.56 4.294 
11.67 42.254 0.736 0.989 24.887 21.351 -180.105 2.834 
11.672 42.253 0.737 0.988 24.631 21.697 -124.156 4.255 
11.683 42.277 0.746 1.012 24.827 21.879 -159.008 4.528 
11.687 42.319 0.748 1.054 24.855 21.482 -98.54 3.296 
11.702 42.274 0.76 1.009 25.358 21.208 -101.643 2.536 
11.712 42.26 0.767 0.996 25.682 21.287 -120.069 2.015 
11.725 42.274 0.777 1.01 24.372 21.563 -134.124 4.721 
11.733 42.273 0.782 1.009 24.369 21.145 -67.47 2.516 
11.738 42.284 0.786 1.02 24.531 21.501 -92.25 3.947 
11.359 41.602 0.506 0.335 23.73 21.628 -188.887 4.684 
11.368 41.612 0.513 0.345 23.259 21.117 -165.883 2.483 
11.368 41.612 0.512 0.344 25.16 22.121 -134.362 10.186 
11.376 41.651 0.518 0.384 24.858 21.62 -26.236 7.548 
11.382 41.629 0.523 0.362 23.793 21.737 -304.952 5.216 
11.411 41.683 0.544 0.416 23.817 21.622 -143.726 2.816 
11.467 41.809 0.586 0.542 27.121 22.403 -49.515 11.993 
11.391 41.595 0.53 0.328 23.008 20.993 -59.382 3.461 
11.392 41.642 0.53 0.375 23.788 21.744 -160.703 4.05 
11.392 41.642 0.53 0.375 25.292 22.887 -65.87 11.283 
11.395 41.639 0.532 0.372 22.916 20.629 -185.363 1.27 
11.397 41.616 0.534 0.349 23.527 21.067 -128.581 1.786 
11.399 41.642 0.536 0.375 25.322 21.201 -133.843 2.053 
11.4 41.617 0.536 0.35 23.66 21.447 -89.232 2.997 
11.4 41.617 0.536 0.35 25.204 21.36 -81.441 2.878 
11.403 41.673 0.538 0.406 23.778 21.121 -178.005 2.644 
11.412 41.589 0.545 0.322 24.252 20.913 -197.295 2.522 
11.412 41.674 0.545 0.407 23.537 21.465 -342.277 8.884 
11.414 41.59 0.547 0.323 23.298 20.647 -147.939 1.369 
11.419 41.655 0.55 0.388 23.665 21.169 -285.635 2.667 
11.421 41.684 0.552 0.417 24.758 21.173 -9.488 3.936 
11.424 41.657 0.555 0.39 23.046 20.696 -109.762 2.327 
11.426 41.652 0.555 0.385 24.815 21.257 -86.051 2.379 
11.426 41.668 0.556 0.401 23.451 21.301 -226.499 3.995 
11.426 41.705 0.556 0.438 23.17 20.77 -163.675 1.484 
11.428 41.581 0.558 0.314 23.764 21.611 -245.148 3.228 
11.431 41.594 0.56 0.327 23.585 20.803 -218.625 2.45 
11.432 41.673 0.56 0.406 23.817 21.433 -94.583 2.317 
11.433 41.678 0.561 0.411 24.874 21.654 -127.711 2.649 
11.436 41.598 0.563 0.331 23.542 21.375 -436.934 4.269 
11.436 41.598 0.563 0.331 25.006 21.994 -118.75 8.971 
11.437 41.73 0.564 0.463 23.466 21.33 -132.464 2.338 
11.439 41.708 0.565 0.441 23.093 21.029 -131.774 1.743 
11.44 41.76 0.566 0.493 22.956 20.605 -147.624 2.356 
11.44 41.734 0.566 0.467 23.676 21.21 -77.227 1.906 
11.441 41.769 0.566 0.502 24.038 21.3 -468.449 3.096 
11.443 41.741 0.568 0.474 24.97 21.609 -173.916 2.467 
11.445 41.723 0.57 0.457 24.897 21.018 -170.758 2.011 
11.445 41.701 0.57 0.434 24.752 21.77 -116.461 3.306 
11.446 41.695 0.57 0.428 23.254 21.234 -312.008 10.871 
11.446 41.735 0.57 0.468 23.22 20.835 -154.511 2.162 
11.446 41.708 0.571 0.442 24.021 21.721 -167.154 3.136 
11.446 41.7 0.571 0.433 23.267 21.026 -339.525 2.534 
11.456 41.677 0.578 0.41 25.08 21.271 -191.125 5.3 
11.458 41.681 0.58 0.414 23.198 21.402 -106.082 2.054 
11.459 41.716 0.581 0.449 23.564 20.735 -196.936 1.245 
11.46 41.668 0.581 0.401 23.113 20.691 42.606 1.998 
11.461 41.639 0.582 0.372 23.695 21.501 -468.078 2.192 
11.462 41.661 0.583 0.395 23.172 21.014 -237.339 2.554 
11.464 41.651 0.584 0.384 23.481 21.288 -55.52 2.93 
11.465 41.789 0.584 0.523 23.61 21.415 -431.036 3.587 
11.466 41.796 0.585 0.529 23.717 21.009 -452.959 2.084 
11.466 41.663 0.586 0.396 24.067 21.598 -292.519 3.766 
11.468 41.731 0.587 0.464 23.76 21.266 -265.726 2.405 
11.472 41.669 0.59 0.402 23.111 21.022 -109.3 1.319 
11.472 41.666 0.59 0.399 24.887 21.013 -121.72 1.806 
11.472 41.713 0.59 0.446 23.763 21.682 -399.127 5.264 
11.472 41.719 0.59 0.453 23.769 21.068 -155.528 2.012 
11.476 41.696 0.593 0.429 23.8 21.429 -206.803 3.047 
11.476 41.766 0.593 0.5 24.722 21.503 -115.43 12.155 
11.48 41.695 0.596 0.429 23.946 21.329 -299.044 2.377 
11.483 41.753 0.598 0.487 23.518 20.91 -208.551 2.096 
11.485 41.728 0.6 0.462 22.649 20.728 -132.238 1.105 
11.488 41.715 0.602 0.449 23.768 21.508 -354.681 3.241 
11.49 41.816 0.603 0.549 23.269 21.264 -166.784 2.816 
11.49 41.814 0.603 0.548 23.95 21.946 -120.699 3.187 
11.492 41.727 0.605 0.46 25.163 21.444 -154.592 2.588 
11.497 41.729 0.609 0.463 24.908 21.148 -185.861 1.963 
11.499 41.742 0.61 0.475 24.476 21.277 -182.711 1.666 
11.5 41.742 0.611 0.475 24.552 21.361 -52.514 3.267 
11.5 41.787 0.611 0.521 24.427 21.09 -115.792 1.694 
11.501 41.743 0.612 0.476 23.361 20.814 -81.265 1.088 
11.502 41.73 0.612 0.464 23.334 20.976 -314.162 2.173 
11.502 41.756 0.612 0.49 23.219 21.435 -151.22 2.392 
11.506 41.757 0.616 0.491 23.338 20.921 -275.608 2.175 
11.507 41.799 0.616 0.533 23.115 21.11 -109.764 1.903 
11.513 41.824 0.62 0.558 23.279 20.916 -118.796 1.55 
11.521 41.806 0.626 0.54 23.17 20.714 -142.746 1.235 
11.521 41.819 0.626 0.553 24.724 21.589 -350.009 2.365 
11.521 41.814 0.626 0.548 23.391 21.277 -399.688 4.89 
11.522 41.781 0.627 0.515 23.776 21.63 -142.325 2.581 
11.525 41.809 0.63 0.543 23.653 20.951 -80.754 2.014 
11.526 41.782 0.63 0.516 23.148 21.387 -116.735 2.971 
11.528 41.824 0.632 0.558 23.203 21.017 -432.956 3.477 
11.529 41.756 0.632 0.49 23.543 21.386 -163.775 2.824 
11.533 41.816 0.635 0.55 23.361 21.043 -75.318 1.519 
11.532 41.816 0.635 0.55 23.896 21.716 -126.746 7.667 
11.535 41.77 0.637 0.504 23.882 21.605 -247.362 4.834 
11.537 41.82 0.639 0.554 23.552 21.698 -131.693 3.24 
11.539 41.786 0.64 0.52 23.035 20.923 -142.534 2.818 
11.54 41.762 0.641 0.496 23.58 21.371 -96.814 3.498 
11.541 41.802 0.641 0.536 23.485 21.707 -118.261 4.581 
11.543 41.767 0.643 0.501 24.056 22.076 -255.457 7.521 
11.546 41.814 0.645 0.548 23.668 21.611 -82.803 7.059 
11.555 41.819 0.652 0.553 23.517 20.961 -85.157 1.69 
11.346 41.632 0.496 0.365 24.816 21.268 -150.318 2.323 
11.345 41.632 0.495 0.364 25.555 21.192 -161.057 4.65 
11.349 41.636 0.498 0.368 24.687 21.339 -157.928 2.592 
11.366 41.657 0.511 0.389 23.411 20.923 -162.759 1.501 
11.366 41.656 0.51 0.389 25.518 22.936 -151.591 8.194 
11.386 41.673 0.526 0.406 24.287 21.666 -13.664 3.232 
11.406 41.693 0.541 0.426 24.017 21.206 -159.181 2.169 
11.413 41.695 0.546 0.428 24.097 21.211 -144.597 1.991 
11.358 41.612 0.505 0.345 25.171 21.703 -273.532 4.686 
11.364 41.616 0.509 0.348 24.154 21.326 -322.938 3.155 
11.378 41.637 0.52 0.37 24.453 21.079 -112.514 2.237 
11.385 41.607 0.525 0.34 24.137 20.921 -216.827 1.787 
11.385 41.639 0.525 0.372 24.555 21.086 -160.902 1.872 
11.393 41.599 0.531 0.332 25.017 21.425 -187.127 2.568 
11.395 41.592 0.533 0.324 24.948 21.173 -507.691 6.081 
11.396 41.63 0.533 0.363 24.225 20.912 -164.209 1.579 
11.403 41.629 0.539 0.362 25.024 21.806 -153.217 4.805 
11.41 41.664 0.544 0.397 25.051 21.985 -192.213 3.31 
11.414 41.641 0.547 0.374 24.879 21.157 -189.45 2.153 
11.415 41.68 0.547 0.413 24.791 21.369 -146.496 3.338 
11.418 41.618 0.55 0.351 25.033 21.053 -224.695 2.265 
11.424 41.618 0.554 0.351 25.331 22.063 -156.504 8.77 
11.424 41.671 0.554 0.404 24.54 21.762 -129.61 3.029 
11.428 41.622 0.557 0.355 23.762 20.851 -90.081 1.644 
11.428 41.66 0.558 0.393 23.866 20.923 -144.534 2.669 
11.43 41.585 0.559 0.318 25.652 21.537 -195.13 5.834 
11.431 41.595 0.56 0.328 24.152 20.96 -249.718 1.619 
11.436 41.73 0.563 0.463 24.397 21.273 -86.289 2.092 
11.44 41.761 0.566 0.494 24.174 20.976 -98.59 1.473 
11.441 41.725 0.567 0.459 23.86 20.975 -45.529 2.36 
11.447 41.683 0.571 0.416 24.578 22.053 -573.032 3.489 
11.452 41.716 0.575 0.449 25.045 21.278 -194.418 1.814 
11.452 41.648 0.576 0.382 25.664 21.547 -89.226 2.326 
11.453 41.722 0.576 0.456 23.817 21.07 -126.708 2.434 
11.453 41.678 0.576 0.412 25.101 21.152 -323.949 1.907 
11.456 41.678 0.578 0.412 24.262 21.656 -319.106 3.616 
11.463 41.745 0.583 0.478 24.221 20.942 -33.134 1.491 
11.463 41.759 0.583 0.492 25.926 21.472 -255.318 3.696 
11.464 41.649 0.584 0.382 25.283 21.331 -192.973 3.5 
11.466 41.761 0.585 0.495 24.117 21.511 -109.055 2.554 
